Date,Close,High,Low,Open,Volume,Ticker
2015-01-02,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000,TSLA
2015-01-05,14.005999565124512,14.433333396911621,13.810667037963867,14.303333282470703,80527500,TSLA
2015-01-06,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500,TSLA
2015-01-07,14.063332557678223,14.3186674118042,13.985333442687988,14.223333358764648,44526000,TSLA
2015-01-08,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994629,51637500,TSLA
2015-01-09,13.77733325958252,13.998666763305664,13.663999557495117,13.928000450134277,70024500,TSLA
2015-01-12,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500,TSLA
2015-01-13,13.616666793823242,13.840666770935059,13.394000053405762,13.554667472839355,67159500,TSLA
2015-01-14,12.845999717712402,13.013333320617676,12.333333015441895,12.388667106628418,173278500,TSLA
2015-01-15,12.791333198547363,13.050000190734863,12.666666984558105,12.965999603271484,78247500,TSLA
2015-01-16,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000,TSLA
2015-01-20,12.795332908630371,12.941332817077637,12.469332695007324,12.924667358398438,67548000,TSLA
2015-01-21,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000,TSLA
2015-01-22,13.441332817077637,13.549332618713379,13.013333320617676,13.133333206176758,61753500,TSLA
2015-01-23,13.419333457946777,13.566666603088379,13.222000122070312,13.352666854858398,51579000,TSLA
2015-01-26,13.770000457763672,13.907999992370605,13.403332710266113,13.45533275604248,48517500,TSLA
2015-01-27,13.732000350952148,13.868666648864746,13.553333282470703,13.628000259399414,41715000,TSLA
2015-01-28,13.291333198547363,13.758000373840332,13.227999687194824,13.740667343139648,47244000,TSLA
2015-01-29,13.680000305175781,13.732000350952148,13.100000381469727,13.404666900634766,53221500,TSLA
2015-01-30,13.573332786560059,13.83133316040039,13.533332824707031,13.597332954406738,45105000,TSLA
2015-02-02,14.062666893005371,14.130000114440918,13.553333282470703,13.597999572753906,62238000,TSLA
2015-02-03,14.557332992553711,14.691332817077637,14.084667205810547,14.214667320251465,72393000,TSLA
2015-02-04,14.569999694824219,14.76533317565918,14.453332901000977,14.552666664123535,49581000,TSLA
2015-02-05,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717773,52843500,TSLA
2015-02-06,14.490667343139648,14.893333435058594,14.433333396911621,14.800000190734863,48658500,TSLA
2015-02-09,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657227,52086000,TSLA
2015-02-10,14.419333457946777,14.699999809265137,14.333333015441895,14.50333309173584,80857500,TSLA
2015-02-11,14.186667442321777,14.315999984741211,13.8186674118042,14.147333145141602,146536500,TSLA
2015-02-12,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,TSLA
2015-02-13,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000,TSLA
2015-02-17,13.623332977294922,13.713333129882812,13.433333396911621,13.713333129882812,59694000,TSLA
2015-02-18,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,TSLA
2015-02-19,14.11400032043457,14.162667274475098,13.583333015441895,13.666666984558105,77311500,TSLA
2015-02-20,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,TSLA
2015-02-23,13.822667121887207,14.546667098999023,13.755332946777344,14.37733268737793,127497000,TSLA
2015-02-24,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000,TSLA
2015-02-25,13.583999633789062,13.809332847595215,13.505332946777344,13.662667274475098,58642500,TSLA
2015-02-26,13.812666893005371,14.072667121887207,13.481332778930664,13.600000381469727,97093500,TSLA
2015-02-27,13.555999755859375,13.903332710266113,13.520000457763672,13.793333053588867,58231500,TSLA
2015-03-02,13.155332565307617,13.555999755859375,13.055333137512207,13.513333320617676,118831500,TSLA
2015-03-03,13.303999900817871,13.349332809448242,13.021332740783691,13.120667457580566,66484500,TSLA
2015-03-04,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,63330000,TSLA
2015-03-05,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,73155000,TSLA
2015-03-06,12.925333023071289,13.383333206176758,12.8100004196167,13.280667304992676,100686000,TSLA
2015-03-09,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,101050500,TSLA
2015-03-10,12.687999725341797,12.899999618530273,12.506667137145996,12.564000129699707,83695500,TSLA
2015-03-11,12.916000366210938,13.078666687011719,12.734000205993652,12.743332862854004,74623500,TSLA
2015-03-12,12.73799991607666,12.963333129882812,12.649999618530273,12.916666984558105,62239500,TSLA
